Subject Area Name,Subject Acronym,Class Number,Class Name
Aerospace Studies,AERO ST ,A,Leadership Laboratory
Aerospace Studies,AERO ST ,1A,Heritage and Values
Aerospace Studies,AERO ST ,1B,Heritage and Values
Aerospace Studies,AERO ST ,1C,Heritage and Values
Aerospace Studies,AERO ST ,19,Fiat Lux Freshman Seminars
Aerospace Studies,AERO ST ,20A,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,20B,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,20C,Team and Leadership Fundamentals
Aerospace Studies,AERO ST ,130A,Air Force Leadership Studies
Aerospace Studies,AERO ST ,130B,Air Force Leadership Studies
Aerospace Studies,AERO ST ,130C,Air Force Leadership Studies
Aerospace Studies,AERO ST ,140A,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,140B,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,140C,National Security Affairs/Preparation for Active Duty
Aerospace Studies,AERO ST ,197,Individual Studies in Aerospace Studies
Archaeology,ARCHEOL ,19,Fiat Lux Freshman Seminars
Archaeology,ARCHEOL ,30,Science in Archaeology
Archaeology,ARCHEOL ,89,Honors Seminars
Archaeology,ARCHEOL ,89HC,Honors Contracts
Archaeology,ARCHEOL ,99,Student Research Program
Archaeology,ARCHEOL ,C110,Archaeological Materials Identification and Characterization  
Archaeology,ARCHEOL ,M112,Archaeology and Art of Christian and Islamic Egypt
Archaeology,ARCHEOL ,C120,Special Topics in Archaeology
Archaeology,ARCHEOL ,C159,Fieldwork in Archaeology
Archaeology,ARCHEOL ,C180,"Ancient and Historic Metals: Corrosion, Technology, and Microstructure"
Archaeology,ARCHEOL ,189,Advanced Honors Seminars
Archaeology,ARCHEOL ,189HC,Honors Contracts
Archaeology,ARCHEOL ,M201A,Graduate Core Seminar: Archaeology
Archaeology,ARCHEOL ,M201B,Graduate Core Seminar: Archaeology
Archaeology,ARCHEOL ,M201C,Archaeological Research Design
Archaeology,ARCHEOL ,M205A,Selected Laboratory Topics in Archaeology
Archaeology,ARCHEOL ,205B,Intensive Laboratory Training in Archaeology
Archaeology,ARCHEOL ,C210,Archaeological Materials Identification and Characterization  
Archaeology,ARCHEOL ,C220,Special Topics in Archaeology
Archaeology,ARCHEOL ,C259,Fieldwork in Archaeology
Archaeology,ARCHEOL ,M265,Depositional History and Stratigraphic Analysis
Archaeology,ARCHEOL ,C280,"Ancient and Historic Metals: Corrosion, Technology and Microstructure"
Archaeology,ARCHEOL ,375,Teaching Apprentice Practicum
Archaeology,ARCHEOL ,501,Cooperative Program  
Archaeology,ARCHEOL ,596,Individual Studies for Graduate Students  
Archaeology,ARCHEOL ,597,Preparation for PhD Qualifying Examination
Archaeology,ARCHEOL ,598,MA Paper Preparation
Archaeology,ARCHEOL ,599,PhD Dissertation Research and Preparation
African American Studies,AF AMER ,1,Introduction to Black Studies
African American Studies,AF AMER ,M5,Social Organization of Black Communities
African American Studies,AF AMER ,6,Trends in Black Intellectual Thought
African American Studies,AF AMER ,M7A,Elementary Yoruba
African American Studies,AF AMER ,M7B,Elementary Yoruba
African American Studies,AF AMER ,M7C,Elementary Yoruba
African American Studies,AF AMER ,M9A,Elementary Amharic
African American Studies,AF AMER ,M9B,Elementary Amharic
African American Studies,AF AMER ,M9C,Elementary Amharic
African American Studies,AF AMER ,M10A,History of Africa to 1800
African American Studies,AF AMER ,M12A,African American Musical Heritage
African American Studies,AF AMER ,M12B,African American Musical Heritage
African American Studies,AF AMER ,M18,Leadership and Student-Initiated Retention
