Subject Area Name,Subject Acronym,Class Number,Class Name
Art ,,1A,Drawing
Art ,,1B,Sculpture
Art ,,11A,Painting
Art ,,11B,Photography
Art ,,11D,New Genres
Art ,,11E,Ceramics
Art ,,31C,Modernism and Its Discontents
Art ,,98T,"Performance, Politics, Pedagogy"
Art ,,130,Advanced Drawing
Art ,,132,Survey of Critical Thought: Lecture 1  
Art ,,133,Advanced Painting
Art ,,137,Advanced New Genres: Studio 1  
Art ,,140,Advanced Printmaking
Art ,,145,Advanced Sculpture
Art ,,147,Advanced Photography
Art ,,148,Advanced Ceramics
Art ,,150,Senior Studio
Art ,,190,Studio/Research Colloquia in Art
Art ,,271,Graduate Painting
Art ,,273,Graduate Sculpture
Art ,,274,Graduate Photography
Art ,,275,Graduate New Genres
Art ,,276,Graduate Group Critique
Art ,,277,Graduate Ceramics
Art ,,278,Interdisciplinary Studio
American Indian Studies,AM IND ,C122XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,M161,Comparative American Indian Societies
American Indian Studies,AM IND ,C222XP,Working in Tribal Communities: Community-Engaged Learning
American Indian Studies,AM IND ,238B,Tribal Legal Development Clinic
American Indian Studies,AM IND ,261,Comparative Indigenous Societies
American Indian Studies,AM IND ,265B,Federal Indian Law I
American Indian Studies,AM IND ,596,Directed Individual Studies
American Indian Studies,AM IND ,598,Research for and Preparation of MA Thesis
American Sign Language,ASL ,3,Elementary American Sign Language
American Sign Language,ASL ,6,Intermediate American Sign Language
American Sign Language,ASL ,M115,Enforcing Normalcy: Deaf and Disability Studies
Asian ,,M20,Visible Language: Study of Writing
Asian ,,M60W,Introduction to Buddhism
Asian ,,191B,"Variable Topics Research Seminars: Buddhist Studies: Pilgrims, Patrons, and the Sacred: Ritual Participation in Japanese Religions"
Asian ,,299,Independent Study
Asian ,,375,Teaching Apprentice Practicum
Asian ,,596,Directed Individual Studies
Asian ,,597,Preparation for MA Comprehensive Examination or PhD Qualifying Examinations
Asian ,,598,Research for and Preparation of MA Thesis
Asian ,,599,Research for and Preparation of PhD Dissertation
Anthropology,ANTHRO ,1,Human Evolution
Anthropology,ANTHRO ,2,Archaeology: Introduction
Anthropology,ANTHRO ,M67W,Making and Studying Modern Middle East
Anthropology,ANTHRO ,88S,"Personal Choice, Societal Pressure, or Political Agenda: Cross-Cultural Analysis of Fertility Policies"
Anthropology,ANTHRO ,112R,Cities Past and Present
Anthropology,ANTHRO ,113Q,California Archaeology
Anthropology,ANTHRO ,118Q,Conquest and Colonialism
Anthropology,ANTHRO ,119,"Selected Topics in Archaeology: Public Spaces, Past and Present"
Anthropology,ANTHRO ,120,Survey of Biological Anthropology
Anthropology,ANTHRO ,124T,Evolution of Personality
Anthropology,ANTHRO ,129,"Selected Topics in Biological Anthropology: Current Research on Kindness: Psychological, Physical, and Social Dimensions"
Anthropology,ANTHRO ,129,Selected Topics in Biological Anthropology: Evolutionary Medicine
Anthropology,ANTHRO ,133,Anthropology of Food
Anthropology,ANTHRO ,135,Visual Anthropology: Documentary Photography
Anthropology,ANTHRO ,135R,Multimedia Ethnography
Anthropology,ANTHRO ,136A,Introduction to Psychological Anthropology: Historical Development
Anthropology,ANTHRO ,139,Selected Topics in Cultural Anthropology: Anthropology of Extreme Human Experience
Anthropology,ANTHRO ,M144P,Constructing Race
Anthropology,ANTHRO ,146,Urban Anthropology
Anthropology,ANTHRO ,149,Selected Topics in Social Anthropology: Disability Anthropology
Anthropology,ANTHRO ,M150,Language in Culture
Anthropology,ANTHRO ,159,Selected Topics in Linguistic Anthropology: Language and Culture in Sub-Saharan Africa
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Anthropology of Burma/Myanmar
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Ecology of Crime
Anthropology,ANTHRO ,169,Selected Topics in Regional Cultures: Lecture 2  
Astronomy,ASTR ,3,Nature of Universe
Astronomy,ASTR ,5,Life in Universe
Astronomy,ASTR ,19,Exploration of the Solar System
Astronomy,ASTR ,82,"Astrophysics II: Stellar Evolution, Galaxies, and Cosmology"
Astronomy,ASTR ,117,Radiation and Fluids in Astrophysics
Astronomy,ASTR ,140,Stellar Systems and Cosmology
Astronomy,ASTR ,180,Astrophysics Laboratory
Astronomy,ASTR ,275,Extragalactic Astrophysics II
Astronomy,ASTR ,279,Seminar: Current Astronomical Research
